"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)"
anticonvulsants_date,demographics,,text,"Anticonvulsants Date Started",,,date_ymd,,,,"[current_med(5)] = ""1""",,,
antihistamines_dose,demographics,,text,"Antihistamines Dose/Day",,,integer,,,,"[current_med(6)] = ""1""",,,
antihistamines_date,demographics,,text,"Antihistamines Date Started",,,date_ymd,,,,"[current_med(6)] = ""1""",,,
antidepressants_dose,demographics,,text,"Antidepressants Dose/Day",,,integer,,,,"[current_med(7)] = ""1""",,,
antidepressants_date,demographics,,text,"Antidepressants Date Started",,,date_ymd,,,,"[current_med(7)] = ""1""",,,
adderall_dose_day,demographics,,text,"Adderall Dose/Day",,,integer,,,,"[current_med(8)] = ""1""",,,
adderall_day_started,demographics,,text,"Adderall Date Started",,,date_ymd,,,,"[current_med(8)] = ""1""",,,
concerta_dose_day,demographics,,text,"Concerta Dose/Day",,,integer,,,,"[current_med(9)] = ""1""",,,
concerta_date_started,demographics,,text,"Concerta Date Started",,,date_ymd,,,,"[current_med(9)] = ""1""",,,
curr_med_specify,demographics,,text,"Please specify",,,,,,,"[current_med(10)] = ""1""",,,
other_dose,demographics,,text,"Other Dose/Day",,,integer,,,,"[current_med(10)] = ""1""",,,
other_date,demographics,,text,"Other Date Started",,,date_ymd,,,,"[current_med(10)] = ""1""",,,
how_effective_is_the_curre,demographics,,radio,"How effective is the current medication?","0, not effective | 1, somewhat effective | 2, very effective",,,,,,,,,
past_med,demographics,,checkbox,"Past medications","0, None | 1, Ritalin | 2, Dexedrine | 3, Cylert | 4, Tranquilizers | 5, Anticonvulsants | 6, Antihistamines | 7, Antidepressants | 8, Others",,,,,,,,,
ritalin_start,demographics,,text,"Ritalin age started",,,integer,,,,"[past_med(1)] = ""1""",,,
ritalin_stop,demographics,,text,"Ritalin age stopped",,,integer,,,,"[past_med(1)] = ""1""",,,
ritalin_reason,demographics,,text,"Ritalin reason stopped",,,,,,,"[past_med(1)] = ""1""",,,
dexedrine_start,demographics,,text,"Dexedrine age started",,,integer,,,,"[past_med(2)] = ""1""",,,
dexedrine_stop,demographics,,text,"Dexedrine age stopped",,,integer,,,,"[past_med(2)] = ""1""",,,
dexedrine_reason,demographics,,text,"Dexedrine reason stopped",,,,,,,"[past_med(2)] = ""1""",,,
cylert_start,demographics,,text,"Cylert age started",,,integer,,,,"[past_med(3)] = ""1""",,,
cylert_stop,demographics,,text,"Cylert age stopped",,,integer,,,,"[past_med(3)] = ""1""",,,
cylert_reason,demographics,,text,"Cylert reason stopped",,,,,,,"[past_med(3)] = ""1""",,,
tranquilizers_start,demographics,,text,"Tranquilizers age started",,,integer,,,,"[past_med(4)] = ""1""",,,
tranquilizers_stop,demographics,,text,"Tranquilizers age stopped",,,integer,,,,"[past_med(4)] = ""1""",,,
tranquilizers_reason,demographics,,text,"Tranquilizers reason stopped",,,,,,,"[past_med(4)] = ""1""",,,
anticonvulsants_start,demographics,,text,"Anticonvulsants age started",,,integer,,,,"[past_med(5)] = ""1""",,,
anticonvulsants_stop,demographics,,text,"Anticonvulsants age stopped",,,integer,,,,"[past_med(5)] = ""1""",,,
anticonvulsants_reason,demographics,,text,"Anticonvulsants reason stopped",,,,,,,"[past_med(5)] = ""1""",,,
antihistamines_start,demographics,,text,"Antihistamines age started",,,integer,,,,"[past_med(6)] = ""1""",,,
antihistamines_stop,demographics,,text,"Antihistamines age stopped",,,integer,,,,"[past_med(6)] = ""1""",,,
antihistamines_reason,demographics,,text,"Antihistamines reason stopped",,,,,,,"[past_med(6)] = ""1""",,,
antidepiessants_start,demographics,,text,"Antidepressants age started",,,integer,,,,"[past_med(7)] = ""1""",,,
antidepiessants_stop,demographics,,text,"Antidepressants age stopped",,,integer,,,,"[past_med(7)] = ""1""",,,
antidepiessants_reason,demographics,,text,"Antidepressants reason stopped",,,,,,,"[past_med(7)] = ""1""",,,
past_other,demographics,,text,"Please specify",,,,,,,"[past_med(8)] = ""1""",,,
other_start,demographics,,text,"Other age started",,,integer,,,,"[past_med(8)] = ""1""",,,
other_stop,demographics,,text,"Other age stopped",,,integer,,,,"[past_med(8)] = ""1""",,,
other_reason,demographics,,text,"Other reason stopped",,,,,,,"[past_med(8)] = ""1""",,,
form_complete,demographics,,text,"Form completed by (relationship to child) ",,,,,,,,,,
bio_mom_employ,demographics,,text,"Biological mother's type of employment (if known)",,,,,,,,,,
bio_mom_edu,demographics,,text,"Biological mother's highest education (if known)",,,,,,,,,,
bio_dad_employ,demographics,,text,"Biological father's type of employment (if known)",,,,,,,,,,
bio_dad_edu,demographics,,text,"Biological father's highest education (if known)",,,,,,,,,,
resides,demographics,,dropdown,"Child resides with ","0, biological family | 1, foster care | 2, adopted | 3, guardians",,,,,,,,,
foster_mom_employ,demographics,,text,"Foster mother's type of employment",,,,,,,"[resides] = ""1""",,,
foster_mom_edu,demographics,,text,"Foster mother's highest education",,,,,,,"[resides] = ""1""",,,
foster_dad_employ,demographics,,text,"Foster father's type of employment",,,,,,,"[resides] = ""1""",,,
foster_dad_edu,demographics,,text,"Foster father's highest education",,,,,,,"[resides] = ""1""",,,
adoptive_mom_employ,demographics,,text,"Adoptive mother's type of employment",,,,,,,"[resides] = ""2""",,,
adoptive_mom_edu,demographics,,text,"Adoptive mother's highest education",,,,,,,"[resides] = ""2""",,,
adoptive_dad_employ,demographics,,text,"Adoptive father's type of employment",,,,,,,"[resides] = ""2""",,,
adoptive_dad_edu,demographics,,text,"Adoptive father's highest education",,,,,,,"[resides] = ""2""",,,
guardian_f_relation,demographics,,text,"Guardian female relation to child",,,,,,,"[resides] = ""3""",,,
guardian_f_employ,demographics,,text,"Guardian female's type of employment",,,,,,,"[resides] = ""3""",,,
guardian_f_edu,demographics,,text,"Guardian female's highest education",,,,,,,"[resides] = ""3""",,,
guardian_m_relation,demographics,,text,"Guardian male relation to child",,,,,,,"[resides] = ""3""",,,
guardian_m_employ,demographics,,text,"Guardian male's type of employment",,,,,,,"[resides] = ""3""",,,
guardian_m_edu,demographics,,text,"Guardian male's highest education",,,,,,,"[resides] = ""3""",,,
bio_history,demographics,,checkbox,"Biological family history","0, None | 1, FASD | 2, ADHD or ADD | 3, Learning disability | 4, Failed to graduate high school | 5, Mentally challenged | 6, Psychosis or schizophrenia | 7, Depression for more than 2 weeks | 8, Bipolar mood disorder | 9, Anxiety disorder | 10, Tourette's disorder | 11, Alcohol or substance abuse | 12, Aggresssiveness, defiance, oppositional behavior as child | 13, Attention, activity, impulse control as child | 14, Others",,,,,,,,,
fasd_family,demographics,,text,"FASD family member",,,,,,,"[bio_history(1)] = ""1""",,,
adhd_family,demographics,,text,"ADHD family member",,,,,,,"[bio_history(2)] = ""1""",,,
ld_family,demographics,,text,"Learning disability family member",,,,,,,"[bio_history(3)] = ""1""",,,
high_school_family,demographics,,text,"Failed to graduate high school family member",,,,,,,"[bio_history(4)] = ""1""",,,
mental_family,demographics,,text,"Mentally challenged family member",,,,,,,"[bio_history(5)] = ""1""",,,
psych_family,demographics,,text,"Psychosis or schizophrenia family member",,,,,,,"[bio_history(6)] = ""1""",,,
depression_family,demographics,,text,"Depression family member",,,,,,,"[bio_history(7)] = ""1""",,,
bipolar_family,demographics,,text,"Bipolar family member",,,,,,,"[bio_history(8)] = ""1""",,,
anxiety_family,demographics,,text,"Anxiety family member",,,,,,,"[bio_history(9)] = ""1""",,,
tourette_family,demographics,,text,"Tourette's family member",,,,,,,"[bio_history(10)] = ""1""",,,
alcohol_substance_family,demographics,,text,"Alcohol or substance abuse family member",,,,,,,"[bio_history(11)] = ""1""",,,
aggress_def_odd_family,demographics,,text,"Aggressive, defiance, ODD family member",,,,,,,"[bio_history(12)] = ""1""",,,
att_act_imp_family,demographics,,text,"Attention, activity, impulse family member",,,,,,,"[bio_history(13)] = ""1""",,,
specify_family,demographics,,text,"Please specify",,,,,,,"[bio_history(14)] = ""1""",,,
other_family,demographics,,text,"Other family member",,,,,,,"[bio_history(14)] = ""1""",,,
ii_as_ttl_cor_r,nepsy,,text,"Animal sorting total correct sorts raw score",,,integer,0,12,,,,,
ii_as_ttl_err_r,nepsy,,text,"Animal sorting total errors raw score",,,integer,0,40,,,,,
ii_as_ttl_rs_err_r,nepsy,,text,"Animal sorting total repeated sort errors raw score score",,,integer,0,20,,,,,
ii_as_ttl_ns_err_r,nepsy,,text,"Animal sorting total novel sort errors raw score",,,integer,0,20,,,,,
ii_as_ttl_cor_s,nepsy,,text,"Animal sorting total correct scaled score",,,number,0,20,,,,,
ii_as_comb_s,nepsy,,text,"Animal sorting combined scaled score",,,number,0,20,,,,,
ii_as_ttl_cor_p,nepsy,,text,"Animal sorting total correct percentile rank",,,number,0,100,,,,,
ii_as_ttl_err_p,nepsy,,text,"Animal sorting total errors percentile rank",,,percentile_range,,,,,,,
ii_as_ttl_rs_err_p,nepsy,,text,"Animal sorting total repeated sort percentile rank",,,percentile_range,,,,,,,
ii_as_ttl_ns_err_p,nepsy,,text,"Animal sorting total novel sort error percentile rank",,,percentile_range,,,,,,,
ii_as_comb_p,nepsy,,text,"Animal sorting combined scaled score percentile rank",,,number,0,100,,,,,
ii_aa_ttl_cor_r,nepsy,,text,"Auditory attn. total correct raw score",,,integer,0,30,,,,,
ii_aa_ttl_o_err_r,nepsy,,text,"Auditory attn. total omission errors raw score",,,integer,0,30,,,,,
ii_aa_ttl_c_err_r,nepsy,,text,"Auditory attn. total commission errors raw score",,,integer,0,180,,,,,
ii_aa_ttl_i_err_r,nepsy,,text,"Auditory attn. total inhibitory errors raw score",,,integer,0,35,,,,,
ii_rs_ttl_corr_r,nepsy,,text,"Response set total correct raw score",,,integer,0,36,,,,,
ii_rs_ttl_o_err_r,nepsy,,text,"Response set total omission errors raw score",,,integer,0,36,,,,,
ii_rs_ttl_c_err_r,nepsy,,text,"Response set total commission errors raw score",,,integer,0,180,,,,,
ii_rs_ttl_i_err_r,nepsy,,text,"Response set total inhibitory errors raw score",,,number,0,37,,,,,
ii_aa_ttl_cor_s,nepsy,,text,"Auditory attn. total correct scaled score",,,number,0,20,,,,,
ii_aa_comb_s,nepsy,,text,"Auditory attn. combined scaled score",,,number,0,20,,,,,
ii_rs_ttl_cor_s,nepsy,,text,"Response set total correct scaled score",,,number,0,20,,,,,
ii_rs_comb_s,nepsy,,text,"Response set combined scaled score",,,number,0,20,,,,,
ii_aa_rs_cont_s,nepsy,,text,"AA vs. RS contrast scaled score",,,number,0,20,,,,,
ii_aa_ttl_cor_p,nepsy,,text,"Auditory attn. total correct percentile rank",,,percentile_range,,,,,,,
ii_aa_comb_p,nepsy,,text,"Auditory attn. combined scaled score percentile rank",,,number,0,100,,,,,
ii_aa_ttl_o_err_p,nepsy,,text,"Auditory attn. total omission error percentile rank",,,percentile_range,,,,,,,
ii_aa_ttl_c_err_p,nepsy,,text,"Auditory attn.total commission error percentile rank",,,percentile_range,,,,,,,
ii_aa_ttl_i_err_p,nepsy,,text,"Auditory attn. total inhibitory error percentile rank",,,percentile_range,,,,,,,
ii_rs_ttl_cor_p,nepsy,,text,"Response set total correct percentile rank",,,percentile_range,,,,,,,
ii_rs_comb_p,nepsy,,text,"Response set combined scaled score percentile rank",,,number,0,100,,,,,
ii_rs_ttl_o_err_p,nepsy,,text,"Response set total omission error percentile rank",,,percentile_range,,,,,,,
ii_rs_ttl_c_err_p,nepsy,,text,"Response set total commission error percentile rank",,,percentile_range,,,,,,,
ii_rs_ttl_i_err_p,nepsy,,text,"Response set total inhibitory error percentile rank",,,percentile_range,,,,,,,
ii_aa_rs_cont_p,nepsy,,text,"AA vs. RS contrast scaled score percentile rank",,,number,0,100,,,,,
ii_in_n_t_r,nepsy,,text,"Inhibition-naming completion time raw score",,,integer,0,360,,,,,
ii_in_n_ttl_err_r,nepsy,,text,"Inhibition-naming total errors raw score",,,integer,0,80,,,,,
ii_in_n_ttl_sc_err_r,nepsy,,text,"Inhibition-naming total self corrected errors raw score",,,integer,0,80,,,,,
ii_in_n_ttl_uc_err_r,nepsy,,text,"Inhibition-naming total uncorrected errors raw score",,,integer,0,80,,,,,
ii_in_i_t_r,nepsy,,text,"Inhibition-inhibition completion time raw score",,,integer,0,480,,,,,
ii_in_i_ttl_err_r,nepsy,,text,"Inhibition-inhibition total errors raw score",,,integer,0,80,,,,,
ii_in_i_ttl_sc_err_r,nepsy,,text,"Inhibition-inhibition total self corrected errors raw score",,,integer,0,80,,,,,
ii_in_i_ttl_uc_err_r,nepsy,,text,"Inhibition-inhibition total uncorrected errors raw score",,,integer,0,80,,,,,
ii_n_s_t_r,nepsy,,text,"Inhibition-switching completion time raw score",,,integer,0,480,,,,,
ii_in_s_ttl_err_r,nepsy,,text,"Inhibition-switching total errors raw score",,,integer,0,80,,,,,
ii_in_s_ttl_sc_err_r,nepsy,,text,"Inhibition-switching total self corrected errors raw score",,,integer,0,80,,,,,
ii_in_s_ttl_uc_err_r,nepsy,,text,"Inhibition-switching total uncorrected errors raw score",,,integer,0,80,,,,,
ii_in_ttl_err_r,nepsy,,text,"Inhibition total errors raw score",,,integer,0,240,,,,,
ii_in_n_t_s,nepsy,,text,"Inhibition-naming completion time scaled score",,,number,0,20,,,,,
ii_in_n_comb_s,nepsy,,text,"Inhibition-naming combined scaled score",,,number,0,20,,,,,
ii_in_i_t_s,nepsy,,text,"Inhibition-inhibition completion time scaled score",,,number,0,20,,,,,
ii_in_i_comb_s,nepsy,,text,"Inhibition-inhibition combined scaled score",,,number,0,20,,,,,
ii_in_s_t_s,nepsy,,text,"Inhibition-switching completion time scaled score",,,number,0,20,,,,,
ii_in_s_comb_s,nepsy,,text,"Inhibition-switching combined scaled score",,,number,0,20,,,,,
ii_in_ni_cont_s,nepsy,,text,"Inhibition- Naming vs. Inhibition contrast scaled score",,,number,0,20,,,,,
ii_in_is_cont_s,nepsy,,text,"Inhibition- Inhibition vs. Switching Contrast scaled score",,,number,0,20,,,,,
ii_in_ttl_err_s,nepsy,,text,"Inhibition total errors scaled score",,,number,0,20,,,,,
ii_in_n_t_p,nepsy,,text,"Inhibition-naming completion time percentile rank",,,number,0,100,,,,,
ii_in_n_comb_p,nepsy,,text,"Inhibition-naming combined scaled score percentile rank",,,number,0,100,,,,,
ii_in_n_ttl_err_p,nepsy,,text,"Inhibition-naming total errors percentile rank",,,percentile_range,,,,,,,
ii_in_n_ttl_sc_err_p,nepsy,,text,"Inhibition-naming total self corrected errors percentile rank",,,percentile_range,,,,,,,
ii_in_n_ttl_uc_err_p,nepsy,,text,"Inhibition-naming total uncorrected errors percentile rank",,,percentile_range,,,,,,,
ii_in_i_t_p,nepsy,,text,"Inhibition-inhibition completion time percentile rank",,,number,0,100,,,,,
ii_in_i_comb_p,nepsy,,text,"Inhibition-inhibition combined scaled score percentile rank",,,number,0,100,,,,,
ii_in_i_ttl_err_p,nepsy,,text,"Inhibition-inhibition total errors percentile rank",,,percentile_range,,,,,,,
ii_in_i_ttl_sc_err_p,nepsy,,text,"Inhibition-inhibition total self corrected errors percentile rank",,,percentile_range,,,,,,,
ii_in_i_ttl_uc_err_p,nepsy,,text,"Inhibition-inhibition total uncorrected errors percentile rank",,,percentile_range,,,,,,,
ii_in_s_t_p,nepsy,,text,"Inhibition-switching completion time percentile rank",,,number,0,100,,,,,
ii_in_s_comb_p,nepsy,,text,"Inhibition-switching combined scaled score percentile rank",,,number,0,100,,,,,
ii_in_s_ttl_err_p,nepsy,,text,"Inhibition-switching total errors percentile rank",,,percentile_range,,,,,,,
ii_in_s_ttl_sc_err_p,nepsy,,text,"Inhibition-switching total self corrected errors percentile rank",,,percentile_range,,,,,,,
ii_in_s_ttl_uc_err_p,nepsy,,text,"Inhibition-switching total uncorrected errors percentile rank",,,percentile_range,,,,,,,
ii_in_ni_cont_p,nepsy,,text,"Inhibition- naming vs. inhibition contrast scaled score percentile rank",,,number,0,100,,,,,
ii_in_is_cont_p,nepsy,,text,"Inhibition- inhibition vs. switching contrast scaled score percentile rank",,,number,0,100,,,,,
ii_in_ttl_err_p,nepsy,,text,"Inhibition total errors percentile rank",,,number,0,100,,,,,
ii_mn_r,nepsy,,text,"Memory for names total raw score",,,integer,0,24,,,,,
ii_mnd_r,nepsy,,text,"Memory for names delayed total score raw score",,,integer,0,8,,,,,
ii_mn_mnd_r,nepsy,,text,"Memory for names and memory for names delayed total score raw score",,,integer,0,32,,,,,
ii_mn_s,nepsy,,text,"Memory for names total scaled score",,,number,0,20,,,,,
ii_mnd_s,nepsy,,text,"Memory for names delayed total scaled score",,,number,0,20,,,,,
ii_mn_mnd_s,nepsy,,text,"Memory for names and memory for names delayed total scaled score",,,number,0,20,,,,,
ii_mn_p,nepsy,,text,"Memory for names total percentile rank",,,number,0,100,,,,,
ii_mnd_p,nepsy,,text,"Memory for names delayed total percentile rank",,,number,0,100,,,,,
ii_mn_mnd_p,nepsy,,text,"Memory for names and memory for names delayed total percentile rank",,,number,0,100,,,,,
ii_ar_ttl_r,nepsy,,text,"Arrows total score raw score",,,integer,0,38,,,,,
ii_ar_ttl_s,nepsy,,text,"Arrows total score scaled score",,,number,0,20,,,,,
ii_ar_ttl_p,nepsy,,text,"Arrows total score percentile rank",,,number,0,100,,,,,
prosacc_n,prosaccade,,text,"Number of correct trials",,,integer,0,60,,,y,,
prosacc_vn,prosaccade,,text,"Number of viable trials",,,integer,30,60,,,y,,
prosacc_srt,prosaccade,,text,"Saccadic reaction time of correct trials",,,number,90,700,,,y,,
prosacc_std,prosaccade,,text,"Standard deviation of SRT for correct trials",,,number,,,,,y,,
prosacc_cv,prosaccade,,text,"Coefficient of variation of correct trials",,,number,0,100,,,y,,
prosacc_eper,prosaccade,,text,"Percent of express saccades(90-140ms)",,,number,0,100,,,y,,
prosacc_wn,prosaccade,,text,"Number of direction errors",,,integer,0,60,,,y,,
prosacc_wsrt,prosaccade,,text,"Saccadic reaction time of direction errors",,,number,90,700,,,,,
prosacc_wper,prosaccade,,text,"Percent of direction errors",,,number,0,100,,,y,,
prosacc_rn,prosaccade,,text,"Number of corrected direction errors",,,integer,0,60,,,y,,
prosacc_rsrt,prosaccade,,text,"Saccadic reaction time of corrective saccades",,,number,90,700,,,,,
prosacc_rper,prosaccade,,text,"Percent of direction errors that were corrected",,,number,0,100,,,,,
prosacc_an,prosaccade,,text,"Number of anticipatory saccades(< 90ms)",,,integer,0,60,,,y,,
prosacc_aper,prosaccade,,text,"Percent of anticipatory errors",,,number,0,100,,,y,,
prosacc_stepn,prosaccade,,text,"Trials with step saccades",,,integer,0,60,,,y,,
prosacc_stepper,prosaccade,,text,"Percent of trials with step saccades",,,number,0,100,,,y,,
prosacc_vel,prosaccade,,text,Velocity,,,number,30,800,,,y,,
prosacc_amp,prosaccade,,text,Amplitude,,,number,5,25,,,y,,
prosacc_firstang,prosaccade,,text,"Angle between direct path to target and first saccade",,,number,0,1,,,y,,
antisacc_n,antisaccade,,text,"Number of correct trials",,,integer,0,60,,,y,,
antisacc_vn,antisaccade,,text,"Number of viable trials",,,integer,30,60,,,y,,
antisacc_srt,antisaccade,,text,"Saccadic reaction time of correct trials",,,number,90,700,,,y,,
antisacc_std,antisaccade,,text,"Standard deviation of Saccdic reaction time for correct trials",,,number,,,,,y,,
antisacc_cv,antisaccade,,text,"Coefficient of variation of correct trials",,,number,0,100,,,y,,
antisacc_eper,antisaccade,,text,"Percent of express saccades(90-140ms)",,,number,0,100,,,y,,
antisacc_wn,antisaccade,,text,"Number of direction errrors",,,integer,0,60,,,y,,
antisacc_wsrt,antisaccade,,text,"Saccadic reaction time of direction errors",,,number,90,700,,,,,
antisacc_wper,antisaccade,,text,"Percent of direction errors",,,number,0,100,,,y,,
antisacc_rn,antisaccade,,text,"Number of corrected direction errors",,,integer,0,60,,,,,
antisacc_rsrt,antisaccade,,text,"Saccadic reaction time of corrective saccades",,,number,90,700,,,,,
antisacc_rper,antisaccade,,text,"Percent of direction errors that were corrected",,,number,0,100,,,,,
antisacc_an,antisaccade,,text,"Number of anticipatory saccades(< 90ms)",,,integer,0,60,,,y,,
antisacc_aper,antisaccade,,text,"Percent of anticipatory errors",,,number,0,100,,,y,,
antisacc_stepn,antisaccade,,text,"Trials with step saccades",,,integer,0,60,,,y,,
antisacc_stepper,antisaccade,,text,"Percent of trials with step saccades",,,number,0,100,,,,,
antisacc_vel,antisaccade,,text,Velocity,,,number,30,800,,,y,,
antisacc_amp,antisaccade,,text,Amplitude,,,number,5,25,,,y,,
antisacc_firstang,antisaccade,,text,"Angle between direct path to target and first saccade",,,number,0,1,,,y,,
n_0,memory_guided_delay_0,,text,"Number of correct trials",,,integer,0,72,,,y,,
vn_0,memory_guided_delay_0,,text,"Number of viable trials",,,integer,36,72,,,y,,
srt1_0,memory_guided_delay_0,,text,"Saccadic reaction time of first saccade of correct trials",,,number,90,700,,,y,,
std1_0,memory_guided_delay_0,,text,"Standard deviation of saccadic reaction time of first saccade of correct trials",,,number,,,,,y,,
cv1_0,memory_guided_delay_0,,text,"Coefficient of variation of saccadic reaction time of first saccade of correct trials",,,number,0,100,,,y,,
srt2_0,memory_guided_delay_0,,text,"Saccadic reaction time of second saccade of correct trials",,,number,90,700,,,y,,
std2_0,memory_guided_delay_0,,text,"Standard deviation of saccadic reaction time of second saccade of correct trials",,,number,,,,,y,,
